id,subject,topic,difficulty,question,A,B,C,D,correct
523,Data Structures,Searching,moderate_2,Binary search is faster than linear because?,Random,Divide and conquer,Parallel search,All,B
524,Data Structures,Searching,moderate_2,What happens if binary search data unsorted?,Correct output,Error,Wrong result,No effect,C
525,Data Structures,Linked Lists,moderate_2,Which linked list allows traversal both ways?,Singly,Doubly,Circular,Hybrid,B
526,Data Structures,Arrays,hard,Time complexity of merging two sorted arrays?,O(n),O(n+m),O(log n),O(n^2),B
527,Data Structures,Arrays,hard,Which searching gives O(1) in ideal case?,Linear,Binary,Hashing,Tree search,C
528,Data Structures,Linked Lists,hard,Deleting a node in doubly list needs?,1 pointer change,2 pointer changes,3 pointer changes,None,B
529,Data Structures,Linked Lists,hard,Circular linked list used in?,Stacks,Queues,Both,None,C
530,Data Structures,Stacks,hard,Expression tree evaluation uses?,Stack,Queue,Array,Tree,A
531,Data Structures,Stacks,hard,Which notation doesnâ€™t need parenthesis?,Infix,Postfix,Prefix,Both B and C,D
532,Data Structures,Queues,hard,Which queue used in CPU scheduling?,Circular,Priority,Double ended,Simple,B
533,Data Structures,Queues,hard,Deadlock in queues happens when?,All processes waiting,One process executes,Stack full,None,A
534,Data Structures,Trees,hard,AVL tree is?,Height balanced tree,Full tree,Binary search tree,Complete tree,A
535,Data Structures,Trees,hard,Which traversal used for expression tree?,Inorder,Preorder,Postorder,None,C
536,Data Structures,Sorting,hard,Quick sort worst case?,O(n^2),O(n log n),O(n),O(log n),A
537,Data Structures,Sorting,hard,Radix sort works on?,Digits,Strings,Numbers,All,D
538,Data Structures,Searching,hard,Hash collision handled by?,Chaining,Sorting,Merging,None,A
539,Data Structures,Searching,hard,Which tree gives O(log n) for search?,AVL,Binary,B-tree,Both A and C,D
540,Data Structures,Arrays,hard,Which structure used to implement matrix efficiently?,Array of arrays,Linked list,Stack,Tree,A
541, DBMS    , Introduction        , easy       , DBMS stands for?                                            , Data Base Management System            , Data Basic Management System   , Database Mainframe System , Data Backup Management System , A       
542, DBMS    , Introduction        , easy       , Which of the following is not a DBMS?                       , MySQL                                  , Oracle                         , Linux                     , PostgreSQL                    , C       
543, DBMS    , Introduction        , easy       , The software responsible for managing a database is called? , Compiler                               , DBMS                           , Assembler                 , Interpreter                   , B       
544, DBMS    , Data Models         , easy       ," Which model uses entities, attributes, and relationships?   ", Relational model                       , Hierarchical model             , ER model                  , Network model                 , C       
545, DBMS    , Keys                , easy       , Which key uniquely identifies a record in a table?          , Foreign key                            , Primary key                    , Candidate key             , Super key                     , B       
546, DBMS    , Normalization       , easy       , Normalization is used to?                                   , Reduce redundancy                      , Increase redundancy            , Reduce dependency         , Improve indexing              , A       
547, DBMS    , SQL                 , easy       , Which SQL command is used to retrieve data?                 , INSERT                                 , UPDATE                         , SELECT                    , DELETE                        , C       
548, DBMS    , SQL                 , easy       , Which clause is used to filter rows?                        , GROUP BY                               , WHERE                          , HAVING                    , ORDER BY                      , B       
549, DBMS    , Joins               , easy       , Which join returns matching rows from both tables?          , Left Join                              , Right Join                     , Inner Join                , Full Join                     , C       
550, DBMS    , SQL                 , easy       , Which symbol is used for pattern matching in SQL?           , %                                      , @                              , #                         , &                             , A       
551, DBMS    , Aggregate Functions , easy       , Which function returns total number of rows?                , SUM()                                  , COUNT()                        , AVG()                     , MAX()                         , B       
552, DBMS    , Normalization       , easy       , 1NF eliminates?                                             , Duplicate rows                         , Repeating groups               , Transitive dependency     , Partial dependency            , B       
553, DBMS    , Transactions        , easy       , A transaction is a?                                         , Program                                , Logical unit of work           , Command                   , Database                      , B       
554, DBMS    , Concurrency         , easy       , Lost update problem occurs in?                              , Concurrency control                    , Recovery                       , Normalization             , Indexing                      , A       
555, DBMS    , Indexing            , easy       , Indexing improves?                                          , Data security                          , Query performance              , Normalization             , Redundancy                    , B       
556, DBMS    , Keys                , moderate_1 , A super key is?                                             , Minimal key                            , Subset of candidate key        , Superset of candidate key , Primary key                   , C       
557, DBMS    , Keys                , moderate_1 , Foreign key is used to?                                     , Uniquely identify record               , Maintain referential integrity , Speed up search           , Reduce redundancy             , B       
558, DBMS    , Normalization       , moderate_1 , 2NF removes?                                                , Partial dependency                     , Transitive dependency          , Redundant data            , Repeating groups              , A       
559, DBMS    , Normalization       , moderate_1 , 3NF removes?                                                , Partial dependency                     , Transitive dependency          , Repetition                , Anomalies                     , B       
560, DBMS    , ER Model            , moderate_1 , ER diagram is used to?                                      , Design database                        , Store data                     , Backup data               , Test database                 , A       
561, DBMS    , ER Model            , moderate_1 , Relationship between student and course is?                 , One to One                             , One to Many                    , Many to Many              , None                          , C       
562, DBMS    , Joins               , moderate_1 , Left join returns?                                          , All rows from left table               , All rows from right table      , Only matched rows         , None                          , A       
563, DBMS    , SQL                 , moderate_1 , Which SQL command removes all rows but keeps structure?     , DELETE                                 , DROP                           , TRUNCATE                  , REMOVE                        , C       
564, DBMS    , SQL                 , moderate_1 , Which statement is used to modify table structure?          , ALTER                                  , UPDATE                         , MODIFY                    , CHANGE                        , A       
565, DBMS    , Aggregate Functions , moderate_1 , AVG() returns?                                              , Sum                                    , Count                          , Average                   , Maximum                       , C       
566, DBMS    , Transactions        , moderate_1 , Which property ensures data consistency?                    , Atomicity                              , Consistency                    , Isolation                 , Durability                    , B       
567, DBMS    , Transactions        , moderate_1 , Dirty read happens when?                                    , Data read before commit                , Data read after commit         , Data deleted              , None                          , A       
568, DBMS    , Concurrency         , moderate_1 , Which protocol avoids deadlock in concurrency?              , Wait-die                               , Timeout                        , Mutual exclusion          , Polling                       , A       
569, DBMS    , Recovery            , moderate_1 , Before-image and after-image are used in?                   , Backup                                 , Recovery                       , Logging                   , Deadlock                      , B       
570, DBMS    , Indexing            , moderate_1 , B-tree is used for?                                         , Searching                              , Sorting                        , Joining                   , Normalization                 , A       
571, DBMS    , SQL                 , moderate_2 , Output of: SELECT COUNT(*) FROM student WHERE age>20;       , Count of students age>20               , Total rows                     , Sum of age                , All students                  , A       
572, DBMS    , SQL                 , moderate_2 , Which SQL keyword sorts results?                            , SORT                                   , ORDER                          , BY                        , ORDER BY                      , D       
573, DBMS    , Joins               , moderate_2 , Full outer join returns?                                    , Matched rows only                      , All rows from both tables      , Only left rows            , Only right rows               , B       
574, DBMS    , SQL                 , moderate_2 , Which command removes table structure?                      , DELETE                                 , TRUNCATE                       , DROP                      , REMOVE                        , C       
575, DBMS    , SQL                 , moderate_2 , Which of these is DCL command?                              , GRANT                                  , SELECT                         , INSERT                    , DELETE                        , A       
576, DBMS    , SQL                 , moderate_2 , To find total salary department-wise we use?                , GROUP BY                               , ORDER BY                       , HAVING                    , DISTINCT                      , A       
577, DBMS    , Transactions        , moderate_2 , ACID property 'I' stands for?                               , Information                            , Isolation                      , Integrity                 , Independent                   , B       
578, DBMS    , Transactions        , moderate_2 ," If a transaction fails, system uses?                        ", Commit                                 , Rollback                       , Redo                      , Undo                          , B       
579, DBMS    , Transactions        , moderate_2 , Which ensures transaction completion?                       , Commit                                 , Abort                          , Savepoint                 , Restore                       , A       
580, DBMS    , Concurrency         , moderate_2 , Two phase locking prevents?                                 , Starvation                             , Deadlock                       , Inconsistency             , Redundancy                    , C       
581, DBMS    , Recovery            , hard       , Checkpoint in recovery means?                               , Temporary backup                       , Permanent save point           , Log entry                 , Error mark                    , B       
582, DBMS    , Recovery            , hard       , Which recovery method uses log files?                       , Rollback                               , Forward recovery               , Backward recovery         , All                           , D       
583, DBMS    , Concurrency         , hard       , Timestamp ordering avoids?                                  , Deadlock                               , Starvation                     , Redundancy                , Locking                       , A       
584, DBMS    , Transactions        , hard       , Cascading rollback happens due to?                          , Uncommitted transaction                , Deadlock                       , Concurrency               , Locking                       , A       
585, DBMS    , Normalization       , hard       , BCNF removes?                                               , Partial dependency                     , Transitive dependency          , All anomalies             , Redundant tuples              , C       
586, DBMS    , ER Model            , hard       , Weak entity depends on?                                     , Strong entity                          , Another weak entity            , Attributes                , Keys                          , A       
587, DBMS    , SQL                 , hard       , Subquery inside another query is called?                    , Nested query                           , Inline query                   , Join query                , Outer query                   , A       
588, DBMS    , SQL                 , hard       , Clause used with GROUP BY to filter groups?                 , HAVING                                 , WHERE                          , ORDER BY                  , DISTINCT                      , A       
589, DBMS    , Keys                , hard       , Composite key is formed by?                                 , One attribute                          , Two or more attributes         , Primary key               , Candidate key                 , B       
590, DBMS    , Indexing            , hard       , Clustered index is created on?                              , Primary key                            , Foreign key                    , Candidate key             , All columns                   , A       
591, DBMS    , Transactions        , hard       , Phantom read occurs when?                                   , New rows inserted by other transaction , Deleted rows remain            , Old data read             , None                          , A       
592, DBMS    , Concurrency         , hard       , Deadlock prevention ensures?                                , No circular wait                       , Hold and wait                  , Starvation                , Multiple locks                , A       
593, DBMS    , Recovery            , hard       , ARIES algorithm is used for?                                , Scheduling                             , Recovery                       , Indexing                  , Normalization                 , B       
594, DBMS    , SQL                 , hard       , Keyword removes duplicate rows?                             , UNIQUE                                 , DISTINCT                       , DIFFERENT                 , CLEAR                         , B       
595, DBMS    , Joins               , hard       , Natural join joins tables using?                            , All common columns                     , Primary key only               , Foreign key only          , Row id                        , A       
596, DBMS    , SQL                 , hard       , SELECT MAX(salary) FROM emp; returns?                       , Highest salary                         , Lowest salary                  , Average salary            , Sum of salary                 , A       
597, DBMS    , SQL                 , hard       , Query to find employees not in dept 10?                     , WHERE dept!=10                         , WHERE dept<>10                 , WHERE dept NOT 10         , WHERE dept NO 10              , B       
598, DBMS    , Transactions        , hard       , Durability ensures?                                         , Changes permanent after commit         , Rollback after crash           , Temporary commit          , None                          , A       
599, DBMS    , Indexing            , hard       , Hash indexing uses?                                         , B-tree                                 , Hash table                     , Array                     , Binary tree                   , B       
600, DBMS    , Recovery            , hard       , Redo operation means?                                       , Reapply changes                        , Undo changes                   , Delete changes            , None                          , A       
601,DCN,Transmission,easy,Which layer is responsible for physical transmission of data?,Network,Transport,Physical,Data Link,C
602,DCN,Topologies,easy,Star topology connects all devices to a single?,Hub,Switch,Router,Bridge,A
603,DCN,Topologies,easy,Which topology has a single backbone cable?,Bus,Star,Mesh,Ring,A
604,DCN,OSI Model,easy,How many layers are in the OSI model?,5,6,7,8,C
605,DCN,Network Devices,easy,Which device connects different networks?,Router,Switch,Hub,Repeater,A
606,DCN,Protocols,easy,HTTP works on which layer?,Transport,Application,Session,Network,B
607,DCN,Switching,easy,Which switching uses physical path?,Packet,Circuit,Message,Virtual,B
608,DCN,Transmission,easy,Which signal type has continuous values?,Analog,Digital,Binary,Discrete,A
609,DCN,Transmission,easy,Bandwidth is measured in?,Bits,Bytes,bps,Hz,D
610,DCN,Protocols,easy,FTP is used for?,Mail transfer,File transfer,Chat,Web browsing,B
611,DCN,Network Devices,easy,Repeater works on which layer?,Physical,Data Link,Network,Transport,A
612,DCN,Transmission,easy,Which medium uses light for transmission?,Coaxial,Fiber optic,UTP,Microwave,B
613,DCN,Topologies,easy,Which topology offers high reliability?,Star,Mesh,Ring,Bus,B
614,DCN,OSI Model,easy,Transport layer ensures?,Routing,Error control,End-to-end delivery,Encoding,C
615,DCN,Switching,easy,Packet switching divides message into?,Blocks,Packets,Frames,Segments,B
616,DCN,OSI Model,moderate_1,Which layer is responsible for encryption?,Application,Session,Presentation,Network,C
617,DCN,Transmission,moderate_1,Propagation delay depends on?,Distance only,Distance and medium,Medium only,Device speed,B
618,DCN,Protocols,moderate_1,TCP is a ___ protocol,Connectionless,Connection-oriented,Routing,Security,B
619,DCN,Network Devices,moderate_1,Bridge operates on layer?,1,2,3,4,B
620,DCN,Switching,moderate_1,Virtual circuit is used in?,Packet switching,Circuit switching,Message switching,Datagram switching,A
621,DCN,Topologies,moderate_1,Main advantage of ring topology?,Simple,Less cable,Easy fault isolation,High speed,C
622,DCN,Transmission,moderate_1,Modulation converts digital to?,Analog,Digital,Binary,Noise,A
623,DCN,Protocols,moderate_1,SMTP is used for?,File transfer,Mail transfer,Web transfer,Video streaming,B
624,DCN,Transmission,moderate_1,Attenuation means?,Increase in signal,Loss of signal strength,Distortion,Amplification,B
625,DCN,Network Devices,moderate_1,Hub is a ___ device?,Layer1,Layer2,Layer3,Layer4,A
626,DCN,Switching,moderate_1,Store-and-forward is feature of?,Circuit,Packet,Message,Optical,B
627,DCN,Topologies,moderate_1,Mesh topology requires ___ links for n nodes?,n-1,n(n-1)/2,n+1,2n,B
628,DCN,Protocols,moderate_1,UDP is ___?,Reliable,Unreliable,Connection-oriented,Slow,B
629,DCN,Transmission,moderate_1,Data rate is measured in?,Bytes per sec,Bits per sec,Hz,Ohms,B
630,DCN,OSI Model,moderate_1,Session layer provides?,Synchronization,Reliability,Routing,Addressing,A
631,DCN,IP Addressing,moderate_2,An IPv4 address has how many bits?,16,32,64,128,B
632,DCN,IP Addressing,moderate_2,The default subnet mask for Class C is?,255.0.0.0,255.255.0.0,255.255.255.0,255.255.255.255,C
633,DCN,IP Addressing,moderate_2,Private IP address range of Class A starts with?,10.x.x.x,172.x.x.x,192.x.x.x,169.x.x.x,A
634,DCN,Routing,moderate_2,RIP uses which metric for path selection?,Bandwidth,Hop count,Delay,Load,B
635,DCN,Routing,moderate_2,OSPF stands for?,Open System Path Forwarding,Open Shortest Path First,Optimal System Path Function,Open Source Path Format,B
636,DCN,Routing,moderate_2,BGP is a ___ routing protocol?,Distance vector,Link state,Path vector,Static,C
637,DCN,Error Detection,moderate_2,CRC is mainly used for?,Encryption,Error detection,Compression,Flow control,B
638,DCN,Error Detection,moderate_2,Parity bit detects?,Single bit error,Multiple errors,Burst errors,None,A
639,DCN,Flow Control,moderate_2,Stop-and-Wait protocol is used for?,Error correction,Flow control,Routing,Segmentation,B
640,DCN,Flow Control,moderate_2,Sliding window is used to improve?,Error rate,Throughput,Delay,Routing,B
641,DCN,Protocols,moderate_2,ARP maps?,IP to MAC,MAC to IP,Port to IP,Name to IP,A
642,DCN,Protocols,moderate_2,ICMP is used for?,Error reporting,Routing,Address mapping,Security,A
643,DCN,Protocols,moderate_2,DNS translates?,Name to IP,IP to name,Port to IP,Domain to MAC,A
644,DCN,Protocols,moderate_2,DHCP provides?,Domain name,IP address dynamically,MAC address,Port number,B
645,DCN,Protocols,moderate_2,Which protocol sends email?,HTTP,FTP,SMTP,SNMP,C
646,DCN,TCP/IP,hard,TCP ensures?,Connectionless transfer,Error-free delivery,Packet dropping,Routing,B
647,DCN,TCP/IP,hard,UDP provides?,Reliable service,Connection-oriented,Unreliable service,Flow control,C
648,DCN,TCP/IP,hard,Port number size in TCP header is?,8 bits,16 bits,32 bits,64 bits,B
649,DCN,IPv6,hard,IPv6 address length is?,32 bits,64 bits,128 bits,256 bits,C
650,DCN,IPv6,hard,IPv6 has how many hexadecimal groups?,4,6,8,16,C
651,DCN,Error Detection,hard,Checksum is used in?,IP header,Data Link layer,Transport layer,Application layer,C
652,DCN,Routing,hard,Default route in IP routing table is represented as?,0.0.0.0,255.255.255.255,127.0.0.1,1.1.1.1,A
653,DCN,Routing,hard,Routing table stores?,Port numbers,MAC addresses,Destination networks,Applications,C
654,DCN,Switching,hard,Virtual circuit is used in?,Datagram network,Connection-oriented packet switching,Broadcast network,Bus topology,B
655,DCN,Flow Control,hard,Congestion control in TCP uses?,Slow start,Fast close,Handshake,ACK wait,A
656,DCN,Protocols,hard,Telnet is used for?,Remote login,File transfer,Email,Encryption,A
657,DCN,Transmission,hard,Nyquist theorem relates to?,Sampling rate,Noise,Amplitude,Phase,A
658,DCN,Transmission,hard,Shannon theorem deals with?,Channel capacity,Bandwidth,Signal loss,Frequency,A
659,DCN,Network Devices,hard,Firewall works on which layers?,Network and Transport,Physical,Data Link,Presentation,A
660,DCN,OSI Model,hard,"At receiver, data decapsulation starts from?",Physical layer,Application layer,Network layer,Session layer,B
661,DMS,Set Theory,easy,A set is?,Ordered list,Well-defined collection of objects,Random collection,None,B
662,DMS,Set Theory,easy,Number of subsets of a set with n elements is?,n,2?,n²,n!,B
663,DMS,Set Theory,easy,The complement of universal set is?,?,U,A,A',A
664,DMS,Set Theory,easy,Intersection of disjoint sets is?,A,B,?,U,C
665,DMS,Logic,easy,A proposition that is always true is called?,Contradiction,Contingency,Tautology,Paradox,C
666,DMS,Logic,easy,Negation of (P ? Q) is?,¬P ? ¬Q,¬P ? ¬Q,P ? Q,P ? Q,B
667,DMS,Logic,easy,Contrapositive of (P ? Q) is?,(¬P ? Q),(¬Q ? ¬P),(P ? ¬Q),(Q ? P),B
668,DMS,Relations,easy,A relation R on set A is reflexive if?,aRa for all a?A,aRb for some b,a?b,None,A
669,DMS,Functions,easy,A bijective function is?,One-to-one only,Onto only,One-to-one and onto,None,C
670,DMS,Combinatorics,easy,Number of permutations of n objects taken r at a time?,n!,nPr = n!/(n?r)!,nCr = n!/(r!(n?r)!),n²,B
671,DMS,Combinatorics,easy,"Number of subsets of {a,b,c} is?",3,6,8,9,C
672,DMS,Graph Theory,easy,Degree of isolated vertex is?,0,1,n,Undefined,A
673,DMS,Graph Theory,easy,A tree is a graph with?,No edges,No cycles,Multiple components,Weighted edges,B
674,DMS,Logic,easy,Logical AND is represented by?,?,?,?,¬,B
675,DMS,Boolean Algebra,easy,Boolean variables take values?,0 or 1,1 or 2,True or False only,None,A
676,DMS,Logic,moderate_1,(P ? Q)’ = ?,P’ ? Q’,P ? Q,P ? Q,P’ ? Q,A
677,DMS,Logic,moderate_1,Distributive law in logic is?,P ? (Q ? R) = (P ? Q) ? (P ? R),P ? (Q ? R) = P ? Q ? R,P ? Q = Q ? P,None,A
678,DMS,Relations,moderate_1,A symmetric relation satisfies?,aRb ? bRa,aRb ? aRa,bRa ? cRc,None,A
679,DMS,Relations,moderate_1,A transitive relation means?,aRb & bRc ? aRc,aRb ? bRa,a?b,None,A
680,DMS,Functions,moderate_1,A surjective function covers?,Some elements,All codomain elements,Only domain,None,B
681,DMS,Combinatorics,moderate_1,Permutations of word “BOOK”?,12,24,6,48,A
682,DMS,Combinatorics,moderate_1,Pigeonhole principle states?,More pigeons than holes ? at least one shared,Equal number always unique,Random placement,None,A
683,DMS,Induction,moderate_1,Mathematical induction is used to prove?,Finite statements,Infinite sequence statements,Random facts,None,B
684,DMS,Induction,moderate_1,Base step in induction proves?,For n=k,For n=1,For all n,For n+1,B
685,DMS,Induction,moderate_1,"If f(n)=2f(n?1), then f(n) grows?",Linearly,Exponentially,Constantly,Randomly,B
686,DMS,Graph Theory,moderate_1,Euler’s formula for planar graph:,V?E+F=2,E?V+F=1,V+E=F,None,A
687,DMS,Graph Theory,moderate_1,A connected acyclic graph is?,Path,Tree,Cycle,Network,B
688,DMS,Boolean Algebra,moderate_1,De Morgan’s law: (A+B)’=?,A’B’,A+B,AB,A’+B’,A
689,DMS,Boolean Algebra,moderate_1,Complement law: A + A’=?,0,1,A,A’,B
690,DMS,Boolean Algebra,moderate_1,Idempotent law: A·A=?,A,1,0,A’,A
691,DMS,Graph Theory,moderate_2,"In a simple graph, max edges = ?",n²,n(n?1)/2,n+1,n,B
692,DMS,Graph Theory,moderate_2,Complete graph is denoted by?,K?,G?,T?,C?,A
693,DMS,Graph Theory,moderate_2,A graph with no vertices of odd degree has?,Euler circuit,Hamiltonian path,Cut vertex,None,A
694,DMS,Graph Theory,moderate_2,Adjacency matrix stores?,Edge connections,Vertex colors,Degrees,Paths,A
695,DMS,Lattice Theory,moderate_2,A lattice is?,Partially ordered set where every pair has sup & inf,Graph,Function,Ring,A
696,DMS,Lattice Theory,moderate_2,Boolean algebra is a special case of?,Lattice,Function,Graph,Matrix,A
697,DMS,Algebraic Structures,moderate_2,A group must have?,"Closure, associativity, identity, inverse",Reflexivity,Symmetry,Transitivity,A
698,DMS,Algebraic Structures,moderate_2,Identity element in addition is?,1,0,?1,None,B
699,DMS,Algebraic Structures,moderate_2,Commutative group is also called?,Abelian group,Finite group,Subgroup,Null group,A
700,DMS,Algebraic Structures,moderate_2,Ring has?,"Two operations (+,×)",Only addition,Only multiplication,Division,A
701,DMS,Algebraic Structures,hard,Monoid is a semigroup with?,Identity,Inverse,Closure,Commutativity,A
702,DMS,Algebraic Structures,hard,Homomorphism preserves?,Structure,Order,Elements,Values,A
703,DMS,Algebraic Structures,hard,Isomorphism means?,One-to-one correspondence preserving structure,Random mapping,Inverse relation,None,A
704,DMS,Graph Theory,hard,Hamiltonian cycle visits?,All edges once,All vertices once,Some vertices,None,B
705,DMS,Graph Theory,hard,Directed graph is called?,Digraph,Path,Network,Tree,A
706,DMS,Graph Theory,hard,Spanning tree connects?,All vertices without cycle,Only edges,Only loops,None,A
707,DMS,Lattice Theory,hard,Distributive lattice satisfies?,a?(b?c) = (a?b)?(a?c),a?b = a?c,a=b,None,A
708,DMS,Lattice Theory,hard,Complemented lattice means?,Each element has complement,Only top element,No complements,None,A
709,DMS,Boolean Algebra,hard,Duality principle states?,Replace +?· and 0?1,A?B,P?Q,None,A
710,DMS,Boolean Algebra,hard,Universal bound law: A+1=?,1,0,A,A’,A
711,DMS,Induction,hard,Proving P(n) ? P(n+1) shows?,Step of induction,Contradiction,Base case,Tautology,A
712,DMS,Induction,hard,Fibonacci sequence follows?,Linear recurrence,Non-linear,Random,Exponential,A
713,DMS,Algebraic Structures,hard,Identity matrix in group theory acts as?,Identity element,Inverse,Null element,None,A
714,DMS,Combinatorics,hard,"Binomial coefficient C(n,0)=?",0,n,1,n!,C
715,DMS,Combinatorics,hard,Principle of inclusion-exclusion counts?,Union of overlapping sets,Disjoint sets,Only intersection,None,A
716,DMS,Graph Theory,hard,DFS uses which data structure?,Stack,Queue,Array,List,A
717,DMS,Graph Theory,hard,BFS uses which data structure?,Stack,Queue,Tree,Heap,B
718,DMS,Logic,hard,Predicate logic includes?,Quantifiers,Propositions only,Variables only,None,A
719,DMS,Logic,hard,?x P(x) means?,For some x,For all x,For one x,For no x,B
720,DMS,Logic,hard,?x P(x) means?,For some x exists,For all x,Always false,None,A
721,DSMP,Number Systems,easy,Which number system uses only 0 and 1?,Binary,Decimal,Octal,Hexadecimal,A
722,DSMP,Number Systems,easy,Base of hexadecimal system is?,8,10,16,2,C
723,DSMP,Number Systems,easy,How many bits are in a nibble?,2,4,8,16,B
724,DSMP,Number Systems,easy,(1010)_2 is equal to which decimal number?,9,10,11,12,B
725,DSMP,Logic Gates,easy,Which gate gives output 1 only if all inputs are 1?,OR,AND,NOT,NOR,B
726,DSMP,Logic Gates,easy,Which logic gate inverts the input?,AND,OR,NOT,XOR,C
727,DSMP,Logic Gates,easy,Symbol '+' is used for which gate?,AND,OR,NOR,XOR,B
728,DSMP,Flip-Flops,easy,Which flip-flop stores 1 bit of data?,RS,D,JK,All,D
729,DSMP,Flip-Flops,easy,Which flip-flop has a toggle state?,SR,JK,D,T,D
730,DSMP,8085 Architecture,easy,8085 is how many bit microprocessor?,4,8,16,32,B
731,DSMP,8085 Architecture,easy,What is the clock frequency of 8085?,1 MHz,3 MHz,6 MHz,8 MHz,C
732,DSMP,Instructions,easy,"Instruction MOV A,B does what?",Move A to B,Move B to A,"Add A,B",Store A in memory,B
733,DSMP,Instructions,easy,Opcode size in 8085 is?,4 bits,8 bits,16 bits,32 bits,B
734,DSMP,Interfacing,easy,Which signal controls data flow in 8085?,RD and WR,ALE,RESET,CLK,A
735,DSMP,Interfacing,easy,Which device converts analog to digital?,ADC,DAC,MUX,DEMUX,A
736,DSMP,Number Systems,moderate_1,(25)_10 = ? in binary,11001,10101,10011,11111,B
737,DSMP,Number Systems,moderate_1,(1111)_2 = ? in hexadecimal,F,E,D,C,A
738,DSMP,Logic Gates,moderate_1,Which gate has output 0 when inputs are equal?,AND,OR,XOR,XNOR,C
739,DSMP,Logic Gates,moderate_1,What is Boolean expression of OR gate?,A.B,A+B,A'B',AB',B
740,DSMP,Flip-Flops,moderate_1,JK flip-flop is similar to RS except?,Reset condition,Toggle capability,Set condition,Clock type,B
741,DSMP,Flip-Flops,moderate_1,Which flip-flop avoids invalid state?,RS,JK,D,None,C
742,DSMP,8085 Architecture,moderate_1,How many address lines in 8085?,8,16,20,32,B
743,DSMP,8085 Architecture,moderate_1,How many general-purpose registers in 8085?,4,6,8,10,B
744,DSMP,Instructions,moderate_1,Which instruction adds B to accumulator?,ADD B,"MOV B,A",ADI B,SUB B,A
745,DSMP,Instructions,moderate_1,How many flags in 8085?,3,5,8,10,B
746,DSMP,Interfacing,moderate_1,Which port connects external devices?,Serial port,Parallel port,USB,LAN,B
747,DSMP,Interfacing,moderate_1,Which device converts digital to analog?,ADC,DAC,MUX,Encoder,B
748,DSMP,Number Systems,moderate_1,(A)_16 = ? in decimal,9,10,11,12,B
749,DSMP,Logic Gates,moderate_1,Which gate gives complement of AND?,OR,NOR,NAND,XOR,C
750,DSMP,8085 Architecture,moderate_1,Which register stores temporary data?,Accumulator,PC,SP,IR,A
751,DSMP,Number Systems,moderate_2,(1001)_2 = ? in octal,9,10,11,12,A
752,DSMP,Number Systems,moderate_2,(45)_8 = ? in decimal,37,38,40,45,A
753,DSMP,Logic Gates,moderate_2,Universal gates are?,"AND, OR","NAND, NOR","XOR, XNOR","AND, XOR",B
754,DSMP,Logic Gates,moderate_2,Which gate output is 1 only when inputs differ?,AND,NOR,XOR,XNOR,C
755,DSMP,Flip-Flops,moderate_2,Race around condition occurs in which flip-flop?,D,SR,JK,T,C
756,DSMP,Flip-Flops,moderate_2,Master-Slave flip-flop removes?,Setup time,Race around,Clock pulse,Invalid state,B
757,DSMP,8085 Architecture,moderate_2,8085 has how many pins?,30,40,42,20,B
758,DSMP,8085 Architecture,moderate_2,Stack grows in which direction?,Upward,Downward,Random,Fixed,B
759,DSMP,Instructions,moderate_2,IN instruction is used for?,Input port,Output port,Memory,Accumulator,A
760,DSMP,Instructions,moderate_2,What does CMA instruction do?,Complements accumulator,Clears accumulator,Adds carry,None,A
761,DSMP,Interfacing,moderate_2,Interrupt signal allows?,Normal execution,Temporary stop,Reset CPU,None,B
762,DSMP,Interfacing,moderate_2,DMA stands for?,Direct Memory Access,Dynamic Memory Array,Data Memory Access,None,A
763,DSMP,Number Systems,moderate_2,Gray code is used to?,Reduce error,Speed conversion,Compress data,Binary add,A
764,DSMP,Logic Gates,moderate_2,"Output of NAND gate with inputs 1,1 is?",1,0,Invalid,Undefined,B
765,DSMP,8085 Architecture,moderate_2,Which register pair forms 16-bit address?,B-C,H-L,D-E,All,D
766,DSMP,Number Systems,hard,(101101)_2 = ? in hexadecimal,2D,2B,33,2C,B
767,DSMP,Number Systems,hard,What is 2â€™s complement of (1010)_2?,101,110,1011,110,B
768,DSMP,Logic Gates,hard,How many input combinations for 3-input gate?,4,6,8,16,C
769,DSMP,Logic Gates,hard,Output of NOR is same as?,NOT(AND),NOT(OR),AND,XOR,B
770,DSMP,Flip-Flops,hard,Which flip-flop uses a single D input?,D,RS,JK,T,A
771,DSMP,Flip-Flops,hard,Propagation delay affects?,Speed of operation,Logic function,Power supply,Fan-out,A
772,DSMP,8085 Architecture,hard,What is role of accumulator?,Stores operands,Stores results,Temporary register,All,D
773,DSMP,8085 Architecture,hard,Address bus of 8085 is?,8-bit,16-bit,32-bit,64-bit,B
774,DSMP,Instructions,hard,What is the function of NOP?,Stops CPU,No operation,New operation,None,B
775,DSMP,Instructions,hard,HL pair refers to?,High-Low register pair,Heap List,Hold Link,Half Line,A
776,DSMP,Interfacing,hard,What is memory mapped I/O?,Uses same address for memory and I/O,Separate address,No address,None,A
777,DSMP,Interfacing,hard,What is polling?,CPU checks device status,Device checks CPU,Parallel data transfer,None,A
778,DSMP,8085 Architecture,hard,Program counter holds?,Next instruction address,Opcode,Data,Flag,A
779,DSMP,Number Systems,hard,Which base uses digits 0â€“7?,Octal,Binary,Decimal,Hexadecimal,A
